7020;1608;sb;Barevné sklo;0,5;41;3300 GFA DUO SV
7021;1608;u;Plast;1;13;1100 normální HV
19201;1608;sc;Čiré sklo;0,5;41;3300 GFA DUO SV
20235;1608;ko;Kovy;1;61;1100 mini H SV
7022;1609;nk;Nápojové kartóny;1;21;1100 normální HV
7023;1609;p;Papír;1;13;1100 normální HV
7024;1609;sb;Barevné sklo;0,5;31;3300 GFA DUO SV
7025;1609;u;Plast;1;13;1100 normální HV
20277;1609;ko;Kovy;1;61;1100 mini H SV
20278;1609;sc;Čiré sklo;0,5;31;3300 GFA DUO SV
7026;1610;nk;Nápojové kartóny;1;21;1100 normální HV
7027;1610;p;Papír;1;13;1100 normální HV
7028;1610;sb;Barevné sklo;1;21;1500 M 1,5 SV
7029;1610;u;Plast;1;13;1100 normální HV
7030;1611;nk;Nápojové kartóny;1;21;1100 normální HV
7031;1611;p;Papír;1;13;1100 normální HV
7032;1611;sb;Barevné sklo;1;41;1500 M 1,5 SV
7033;1611;u;Plast;1;13;1100 normální HV
7034;1612;nk;Nápojové kartóny;1;21;1100 normální HV
7035;1612;p;Papír;1;13;1100 normální HV
7036;1612;sb;Barevné sklo;1;41;1500 M 1,5 SV
7037;1612;u;Plast;1;13;1100 normální HV
7038;1613;nk;Nápojové kartóny;1;21;1100 normální HV
7039;1613;p;Papír;1;13;1100 normální HV
7040;1613;sb;Barevné sklo;1;41;1500 M 1,5 SV
7041;1613;u;Plast;1;13;1100 normální HV
7042;1614;nk;Nápojové kartóny;1;21;1100 normální HV
7043;1614;p;Papír;1;13;1100 normální HV
7044;1614;sb;Barevné sklo;0,5;31;3300 GFA DUO SV
7045;1614;u;Plast;2;13;1100 normální HV
19604;1614;ko;Kovy;1;61;1100 mini H SV
19605;1614;sc;Čiré sklo;0,5;31;3300 GFA DUO SV
7046;1615;nk;Nápojové kartóny;1;21;1100 normální HV
7047;1615;p;Papír;1;13;1100 normální HV
7048;1615;sb;Barevné sklo;0,5;31;3300 GFA DUO SV
7049;1615;u;Plast;1;13;1100 normální HV
20236;1615;sc;Čiré sklo;0,5;31;3300 GFA DUO SV
20237;1615;ko;Kovy;1;61;1100 mini H SV
7050;1616;sc;Čiré sklo;0,5;21;3300 GFA DUO SV
7051;1616;nk;Nápojové kartóny;1;21;1100 normální HV
7052;1616;p;Papír;1;13;1100 normální HV
7053;1616;sb;Barevné sklo;0,5;21;3300 GFA DUO SV
7054;1616;u;Plast;1;14;1100 normální HV
19863;1616;e;Elektrozařízení;1;41;2150 MEVA SV
7055;1617;nk;Nápojové kartóny;1;21;1100 normální HV
7056;1617;p;Papír;2;13;1100 normální HV
7057;1617;sb;Barevné sklo;0,5;31;3300 GFA DUO SV
7058;1617;u;Plast;2;13;1100 normální HV
19315;1617;sc;Čiré sklo;0,5;31;3300 GFA DUO SV
20238;1617;ko;Kovy;1;61;1100 mini H SV
7063;1619;sc;Čiré sklo;0,5;21;3300 GFA DUO SV
7064;1619;nk;Nápojové kartóny;1;21;1100 normální HV
7065;1619;p;Papír;1;13;1100 normální HV
7066;1619;sb;Barevné sklo;0,5;21;3300 GFA DUO SV
7067;1619;u;Plast;1;13;1100 normální HV
7068;1620;nk;Nápojové kartóny;1;21;1100 normální HV
7069;1620;p;Papír;1;13;1100 normální HV
7070;1620;sb;Barevné sklo;1;41;1500 M 1,5 SV
7071;1620;u;Plast;1;13;1100 normální HV
20847;1620;ko;Kovy;1;61;1100 mini H SV
7072;1621;nk;Nápojové kartóny;1;21;1100 normální HV
7073;1621;p;Papír;1;13;1100 normální HV
7074;1621;sb;Barevné sklo;0,5;31;3300 GFA DUO SV
7075;1621;u;Plast;1;13;1100 normální HV
21306;1621;sc;Čiré sklo;0,5;31;3300 GFA DUO SV
7081;1623;nk;Nápojové kartóny;1;21;1100 normální HV
7082;1623;p;Papír;1;13;1100 normální HV
7083;1623;sb;Barevné sklo;0,5;31;3300 GFA DUO SV
7084;1623;u;Plast;1;13;1100 normální HV
20239;1623;ko;Kovy;1;61;1100 mini H SV
