id;stationName;cityDistrict;coordinateX;coordinateY
1716;Vysočanská 572/41;Prague 9;-736994.59;-1040116.51
1718;Novoborská 371/10;Prague 9;-736844.094252;-1039334.42318
1719;Trmická 0;Prague 9;-736992.022292;-1040371.01256
1720;Nad šestikopy 835/5;Prague 9;-737044.970216;-1040438.2604
1721;Zakšínská 571/8;Prague 9;-736943.294346;-1039016.74365
1722;Novovysočanská 505/8;Prague 9;-738089.794471;-1042254.12285
1723;Litoměřická 839/15;Prague 9;-737578.9;-1040169.68
1724;Hrdlořezská 72/47;Prague 9;-736535.793642;-1042982.9852
1725;Poděbradská 777/9;Prague 9;-736104.66;-1042195.97
1727;Na Harfě 935/5;Prague 9;-736907.62;-1042102.15
1728;Poděbradská 777/9;Prague 9;-736411.593303;-1042198.02757
1729;Kolbenova 658/14;Prague 9;-736403.970952;-1041269.81457
1730;Střížkovská 550/33;Prague 9;-737744.891897;-1039518.5666
1731;Hrdlořezská 366/14;Prague 9;-736457.08;-1043182.25
1733;Ocelářská 975/45;Prague 9;-737038.59;-1041676.74
1734;Na Prosecké vyhlídce 76/14;Prague 9;-737332.277094;-1040316.45108
1735;Kovářská 1414/9;Prague 9;-737560.98;-1041637.98
1736;Kurta Konráda 2457/8;Prague 9;-737804.81;-1041736.88
1737;Nepelova 953/7;Prague 9;-735399.35;-1041893.89
1738;K náhonu 15/2;Prague 9;-734878.591244;-1042324.10908
1740;Jitravská 562/10;Prague 9;-738003.729336;-1039774.01139
4369;Jana Přibíka 959/7;Prague 9;-735867.94;-1042014.43
4370;Českolipská 391/5;Prague 9;-736955.009065;-1039683.13857
4371;Pod Harfou 966/35;Prague 9;-736162.76;-1042050.62
4403;Kovářská 1790/27;Prague 9;-737695.7;-1041348.4
4404;U Svobodárny 1215/10;Prague 9;-737715.15;-1041697.26
4405;Makedonská 599/3;Prague 9;-737117.94;-1039056.48
4406;Makedonská 601/7;Prague 9;-737164.51;-1038990.86
4425;Nademlejnská 823/11;Prague 9;-734973.970864;-1042261.01026
4426;Zásadská 569/1;Prague 9;-736796.423966;-1039031.47293
4427;Sousedíkova 973/9;Prague 9;-735555.36;-1041984.5
4471;Nademlejnská 1064/4;Prague 9;-735015.894847;-1042357.28725
4488;Desenská 0;Prague 9;-737033.536229;-1038931.84381
4509;Odlehlá 558/1;Prague 9;-738352.011081;-1042474.83322
4546;Zakšínská 615/17;Prague 9;-736875.52;-1038959.64
4564;Freyova 983/25;Prague 9;-736851.09;-1041775.13
4628;Pod Harfou 943/16;Prague 9;-736350.97;-1042032.76
4774;Modrého 1107/7;Prague 9;-735396.62;-1041967.1
4786;Makedonská 617/10;Prague 9;-737106.84;-1039007.44
4949;Granitova 1115/8;Prague 9;-735008.35;-1041654.26
5005;Za Krejcárkem 1003/1;Prague 9;-738498.34;-1042531.88
5198;Strnadových 1006/3;Prague 9;-735851.84;-1041149.56
5199;Strnadových 1007/5;Prague 9;-735861.23;-1041124.04
5200;Strnadových 1009/9;Prague 9;-735799.27;-1041131.79
5277;Saarinenova 1130/7;Prague 9;-735001.36;-1041800.71
4958;Učňovská 379/6;Prague 9;-736853.43;-1043152.86
4959;Učňovská 386/17;Prague 9;-736796.94;-1043188.18
4960;Učňovská 387/19;Prague 9;-736757.78;-1043188.71
4961;Učňovská 391/9;Prague 9;-736951.98;-1043171.78
4962;Učňovská 393/13;Prague 9;-736876.05;-1043179.19
4963;Učňovská 396/5;Prague 9;-737035.59;-1043188.45
4964;Učňovská 398/2;Prague 9;-737089.57;-1043177.07
5006;Nad Smetankou 222/1;Prague 9;-737028.05;-1042961.3
5007;V Třešňovce 223/4;Prague 9;-737080.06;-1043020.55
5008;V Třešňovce 229/14;Prague 9;-736874.99;-1042927.83
5009;Nad Smetankou 226/4;Prague 9;-737053.05;-1043069.12
5012;Nad Smetankou 221/5;Prague 9;-737097.32;-1043000.05
5013;V Třešňovce 224/6;Prague 9;-737038.24;-1042998.3
5014;V Třešňovce 227/10;Prague 9;-736954.23;-1042961.7
5015;Nad Smetankou 225/2;Prague 9;-737103.06;-1043081.29
5016;Nad Smetankou 228/6;Prague 9;-736932.8;-1043025.07
5017;Nad Smetankou 231/9;Prague 9;-736849.46;-1043019.78
5019;Nad Smetankou 230/10;Prague 9;-736912.72;-1042992.24
5219;Za Lidovým domem 1010/2;Prague 9;-736500.06;-1041736.31
4511;Sokolovská 972/195;Prague 9;-737699.76;-1041504.19
4547;Podvinný mlýn 2347/24;Prague 9;-737646.2;-1041056.32
4565;Prouzova 792/6;Prague 9;-736637.96;-1041301.44
4566;Klíčovská 293/20;Prague 9;-736243.12;-1040560.77
4567;Pískovcová 737/5;Prague 9;-736897.95;-1040458.56
4568;Veltruská 538/23;Prague 9;-737249.08;-1039924.02
4569;Jablonecká 358/25;Prague 9;-737215.25;-1039378.56
4570;Rumburská 244/22;Prague 9;-737433.87;-1039539.07
4572;Bílinská 504/21;Prague 9;-737358.95;-1039746.86
4575;Kytlická 779/19;Prague 9;-736235.85;-1039592.38
4611;Nemocniční 781/14;Prague 9;-736402.99;-1041401.42
4612;Čihákova 965/2;Prague 9;-737866.01;-1041533.36
4803;Litvínovská 288/11;Prague 9;-737672.47;-1039750.56
4927;Mimoňská 1243/1;Prague 9;-736761.74;-1039801.76
