"type,""name"",""features_type"",""features_geometry_type"",""features_geometry_coordinates"",""features_properties_objectid"",""features_properties_id"",""features_properties_stationnumber"",""features_properties_stationname"",""features_properties_citydistrictruiancode"",""features_properties_citydistrict"",""features_properties_pristup""";;;;;;;;;;;;;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.09729057900006,18,2277,""0006/ 145"",""U Ladronky 639/20"",500178,""Praha 6"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.483911423000052,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.35591531600005,19,2280,""0006/ 148"",""PavlovskÌÁ 585/1"",500178,""Praha 6"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.14694963900007,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.09625915300006,20,2281,""0006/ 149"",""U kolejÌ_ 341/24"",500178,""Praha 6"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.49742636600007,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.372198210000022,21,2294,""0006/ 162"",""VÌÁclavkova 1517/16"",500178,""Praha 6"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.149969430000056,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.089126478000026,22,2295,""0006/ 163"",""Na Karlovce 1021/10"",500178,""Praha 6"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.475646815000061,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.362412906000031,23,2299,""0006/ 167"",""Na Kuthence 830/7"",500178,""Praha 6"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.14473703200008,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.08630301800008,24,2472,""0005/ 044"",""Pod radnicÌ_ 103/2"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.486579210000059,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.343700641000055,25,2473,""0005/ 045"",""ZahradnÌ_€çkova 170/42"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.15028687100005,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.09008148600003,26,2474,""0005/ 046"",""U ÅÊalamounky 3084/16"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.472848963000047,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.383757718000027,27,2475,""0005/ 047"",""Drtinova 470/14"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.14551743000004,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",50.088804836000065,28,2476,""0005/ 048"",""PraÅ_skÌ©ho 601/28"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,14.447596593000071,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
"NULL,NULL,""Feature"",""Point"",14.393371700000046,29,2477,""0005/ 049"",""Pod lipkami 1520/8"",500143,""Praha 5"",""voln€_""";;;;;;;;;;;;NULL,NULL,NULL,NULL,50.14538557700007,NULL,NULL,NULL,NULL,NULL,NULL,NULL;;;;;;;
